User_ID,Product_ID,Category,Final_Price(Rs.),interaction
337c166f,f414122f-e,sports,31.05,1
d38a19bf,fde50f9c-5,clothing,186.23,1
d7f5f0b0,0d96fc90-3,sports,237.76,1
395d4994,964fc44b-d,toys,129.89,1
a83c145c,d70e2fc6-e,beauty,195.84,1
3fdcdae8,0816ee12-5,books,120.93,1
12772337,d41e0b55-c,toys,73.06,1
9f0194af,83b7dc04-5,sports,170.58,1
7a8559d8,87c9c896-1,sports,360.82,1
8911f0d1,31308875-b,home & kitchen,207.68,1
9.89E+45,b2b1af7b-7,books,65.78,1
3b857e65,e221cf14-c,beauty,334.7,1
204fab33,8c9a5f54-b,home & kitchen,258.92,1
88159234,eeb0635d-a,sports,13.13,1
8c1f2f98,38aec303-2,clothing,228.83,1
a84d7206,69d91fbc-3,home & kitchen,108.02,1
4578c08e,928b4b24-d,toys,426.75,1
ba3964fa,12f03ff4-6,home & kitchen,52.98,1
78595586,729191af-4,electronics,223.89,1
195e0c14,089c1cdd-0,clothing,166.75,1
7f6e9ab5,a38a732e-9,home & kitchen,65.64,1
d33a1a62,4c021051-3,toys,21.45,1
427a8468,e57d04f5-d,books,336.37,1
97f18950,b1d2560c-7,home & kitchen,351.87,1
426308a5,4dc7c4a3-8,toys,205.71,1
57c601ea,ce353020-f,sports,265.6,1
a429364b,7fd8663b-b,toys,262.91,1
928bddf9,b338a0b6-7,beauty,176.35,1
0f32a6f6,df52cac6-d,electronics,176.47,1
d71af9e5,d384b62b-c,toys,209.08,1
b0d1473b,7004654f-0,toys,350.75,1
9b99bfb0,5bfb14c4-f,home & kitchen,61.65,1
de4cdcdd,411c40d9-1,beauty,20.39,1
5f57fbd4,d5b42863-c,toys,78.82,1
87f21131,b896f670-9,home & kitchen,112.26,1
f7d6dfab,6b5e4a98-0,books,285.77,1
ca363a04,7f05dd28-6,toys,18.13,1
68d24203,3e56a630-e,clothing,81.1,1
0ae7336e,1dc3b1a0-4,clothing,441.69,1
72343250,cc379a88-b,electronics,94.03,1
021adfb6,1695a728-0,home & kitchen,303.33,1
a9f47880,c66354db-6,toys,363.06,1
005258a0,273c5035-2,electronics,303.14,1
5e088877,74b72b2f-7,home & kitchen,253.36,1
f2e7bcc0,5e059f5f-7,clothing,404.77,1
5a1d9851,dd5071f5-c,sports,191.04,1
cc672bd7,db828c6d-0,home & kitchen,367.96,1
5c2f954d,db26458e-0,home & kitchen,279.77,1
d5daed7a,ee59d876-b,beauty,479.19,1
0b32dc6f,919b53bb-2,home & kitchen,315.55,1
a151d3b5,159dca37-7,books,77.31,1
e9fde811,af65c4a5-5,toys,217.8,1
932c893c,847e77d3-d,toys,300.23,1
b98d8283,e907e57c-b,electronics,11.86,1
4319ad38,f8495894-2,toys,29.96,1
0b204db3,be68a8d8-7,electronics,414.76,1
eb65d1ca,e964198d-7,toys,234.13,1
2ce76c47,c834b41d-5,home & kitchen,133.79,1
e186c635,c4ddee78-e,books,202.26,1
8e9eae19,59718054-8,electronics,389.4,1
1100831a,0a46a91c-d,beauty,272.18,1
64b48c94,07ce9e62-a,sports,9.7,1
88e9aac9,baff7ab2-1,beauty,239.86,1
a87b658a,2449a91f-2,sports,157.62,1
f92a5812,273ceb78-0,clothing,304.09,1
158e8085,04dcad68-2,beauty,112.45,1
179ae4c5,6d1089e4-9,books,304.65,1
79aff6cb,32452d43-a,sports,295.59,1
4e082c18,df40cf3d-6,sports,284.55,1
3a475b95,42559644-1,clothing,113.09,1
57633cda,54c501ae-e,toys,161.81,1
3f09b3c3,893343d5-d,clothing,138.81,1
12574fb0,ade73cc0-5,toys,15.4,1
6b92aea5,663d067f-2,home & kitchen,275.34,1
cf929cc7,bc84dcb8-5,clothing,268.38,1
c73916c0,56c95db1-7,books,137.44,1
ddae0858,4dd272cd-4,electronics,74.46,1
616fca83,c893a571-b,home & kitchen,232.99,1
0ac5e876,60e53d02-0,sports,362.61,1
5d31e0f4,568f353e-6,electronics,364.97,1
04cdb11d,c2d4aa98-b,home & kitchen,269.19,1
e54b0416,ec8c9491-b,toys,340.79,1
0d9f9cc3,dd1ca92d-a,home & kitchen,107.72,1
8c2e8d5f,0fa064a8-d,clothing,28.07,1
849f6eb8,2ad0fe64-8,toys,124.95,1
6964d7bb,9a0a1741-8,books,466.17,1
f9941dc2,b46f5c60-7,toys,238.56,1
aa8f723f,214f0eed-f,books,229.18,1
0f78333d,c70fab41-e,books,232.25,1
94aa211f,fcbc5388-0,books,219.5,1
414b8fad,2257fd97-e,clothing,34.74,1
8f081976,34a952b4-a,clothing,386.91,1
41622516,5d9e94f3-1,toys,281.07,1
0b3c2c9f,4ff5749c-e,sports,173.95,1
b7f89b7e,74aeba43-c,electronics,151.33,1
458ce5f7,2228c622-f,electronics,77.34,1
b9fabe54,e907f4d3-9,beauty,471.25,1
2403105a,a7298172-c,sports,303.91,1
7a5f0316,4118f1cc-3,electronics,133.93,1
e0424124,3b0a706d-2,clothing,81.18,1
b717743a,cd9ba20a-7,books,215.72,1
82d284f0,ec8c3655-e,home & kitchen,40.83,1
83732a37,b3525981-b,sports,182.04,1
d8e5dd07,3d832b43-e,beauty,66.86,1
458c8213,c40efcc0-2,clothing,83.63,1
b955c6ec,268ce5a6-f,toys,291.08,1
1a4639c6,9822591f-3,beauty,208.78,1
b3cb8c3c,707c9b5c-c,sports,306.78,1
3043e68e,cfe90194-b,toys,244.35,1
ffda329b,bf258db9-2,home & kitchen,14.96,1
b2ab489e,137695d9-6,home & kitchen,203.72,1
56c6e554,f477647f-5,beauty,114.31,1
03ec5d73,5b91457c-3,books,94.93,1
3f20311f,c0712648-3,toys,30.92,1
d5fb8686,412992e4-9,sports,372.27,1
a3df5dd4,40ca8015-7,toys,74.98,1
8fa5b154,bc26060a-5,electronics,288.6,1
f9b0b9bf,7f74df77-2,toys,188.88,1
6b395741,aef8a1b7-f,home & kitchen,285.18,1
367debf4,dbc17060-e,books,187.86,1
51dc4386,87d16f8f-2,sports,220.25,1
6b4ec06c,4c54fc1d-0,beauty,124.56,1
313b6efb,7f15c4cf-6,beauty,236.7,1
c68d813a,a95d5384-7,clothing,278.01,1
3b327b6e,69ac51ab-8,beauty,211.61,1
bba6b57f,d516e842-3,sports,61.85,1
98a9ccae,d706b082-4,electronics,43.72,1
021b5be9,459a15e9-f,electronics,361.04,1
2ea44e9d,4ccbd0eb-8,sports,320.09,1
ccab3064,7b348c44-0,toys,36.21,1
ab1add51,ced724ce-2,toys,311.15,1
f979e9ea,4cebabca-e,sports,68.78,1
8f30f97d,6b4b6852-a,home & kitchen,414.8,1
b8e38e07,61a3694b-7,home & kitchen,394.11,1
b1fe155c,4.84E+02,sports,65.21,1
9daac50a,b503bda4-8,beauty,354.15,1
02f68644,c6e0579d-9,toys,77.88,1
ab51add8,b93bd2ee-b,clothing,179.18,1
173a7d55,cf9bf8ad-9,beauty,470.33,1
c9939103,7ae18ecd-b,toys,49.98,1
46b35e44,9f5d4e87-5,home & kitchen,254.14,1
1b4424dd,0de24149-d,beauty,26.57,1
16b4c497,b1cd2571-8,books,112.59,1
ebbfafc3,6518b3f5-9,clothing,320.14,1
f2c0a566,2a0374d2-e,beauty,428.47,1
34dad111,119fec0d-2,beauty,370.33,1
aa7bdfa3,9e012e67-8,electronics,328.08,1
251c90d9,4b06ab84-e,clothing,233.25,1
598efd02,68235070-2,toys,201.37,1
c5642517,477dbdaa-9,toys,166.91,1
5e8aed36,e83298b7-c,electronics,254.03,1
7be076d6,968716f9-d,home & kitchen,193.26,1
41118f59,5b7f1241-9,books,85.81,1
2da125c1,69a949eb-b,electronics,326.01,1
d6b94141,e2a4b6ca-c,electronics,147.71,1
823e9a88,90518d68-1,clothing,390.2,1
7391f331,1ee7bc15-5,home & kitchen,203.03,1
6bdb1d9e,7b5dd212-c,books,255.0,1
ab7273bc,eb1e3cad-b,beauty,189.32,1
839f23dc,2838f818-c,home & kitchen,228.38,1
42385946,9d19438f-d,toys,445.01,1
c7978493,c45f28ae-1,clothing,229.67,1
b6df8c21,0f772bf6-b,clothing,378.27,1
c112eed4,42cf5d2e-e,clothing,18.83,1
92e87211,b2969904-5,clothing,345.22,1
a7a46866,8d276b60-e,sports,35.37,1
a1adb0ae,d13b913f-9,toys,130.78,1
f30003fb,5c2c5955-3,electronics,238.75,1
73bfc396,bc3bb60a-5,sports,36.22,1
3e41585f,27e9782e-5,sports,378.9,1
